DEPARTAMENTO,MUNICIPIO,MECANISMO_VIOLENCIA,SEXO,GRUPO_ETARIO,AÑO,MES,CANTIDAD
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2016,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2016,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2016,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,4,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,8,3
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,12,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,1,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,6,3
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2018,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2018,7,3
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2018,3,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,4,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,2,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,3,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2019,9,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2020,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2020,1,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2020,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,2,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,3,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,11,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,12,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,9,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2024,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2024,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2024,9,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,12,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2015,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2017,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2018,1,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2020,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2021,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,12,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,3,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2022,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,ADULTOS,2023,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2015,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2016,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2016,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2017,11,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2018,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2018,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2018,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2020,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2020,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2021,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2023,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2024,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2024,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2015,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2016,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2016,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2017,10,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2018,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2018,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2018,5,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2019,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2019,10,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2020,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2020,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2020,11,1
